id,event,time_end,text
670,Blank,473772.6,NA
670,Word,474371,NA
670,ISI,475389.24,NA
670,Trial,475389.24,NA
670,Fixation,475889.3,NA
670,Prime,476089.22,NA
670,Blank,476189.1,NA
670,Word,476800,NA
670,ISI,477821.6,NA
670,Trial,477821.6,NA
670,Experiment Block 3,477821.6,NA
670,Frame 3,477824,NA
670,Break_3,491867,NA
670,Sequence3,491867,NA
670,Fixation,492406.52,NA
670,Prime,492606.4,NA
670,Blank,492706.5,NA
670,Word,493261,NA
670,ISI,494289.82,NA
670,Trial,494289.82,NA
670,Fixation,494789.88,NA
670,Prime,494989.82,NA
670,Blank,495089.86,NA
670,Word,495652,NA
670,ISI,496673.12,NA
670,Trial,496673.12,NA
670,Fixation,497189.84,NA
670,Prime,497381.58,NA
670,Blank,497480.54,NA
670,Word,498143,NA
670,ISI,499163.66,NA
670,Trial,499163.66,NA
670,Fixation,499680.24,NA
670,Prime,499879.76,NA
670,Blank,499980.26,NA
670,Word,500564,NA
670,ISI,501596.84,NA
670,Trial,501596.84,NA
670,Fixation,502096.94,NA
670,Prime,502296.94,NA
670,Blank,502402.5,NA
670,Word,503045,NA
670,ISI,504070.16,NA
670,Trial,504070.16,NA
670,Fixation,504586.76,NA
670,Prime,504786.12,NA
670,Blank,504886.76,NA
670,Word,506232,NA
670,ISI,507253.4,NA
670,Trial,507253.4,NA
670,Fixation,507753.38,NA
670,Prime,507961.1,NA
670,Blank,508060.74,NA
670,Word,508647,NA
670,ISI,509676.4,NA
670,Trial,509676.4,NA
670,Fixation,510176.22,NA
670,Prime,510375.56,NA
670,Blank,510492.88,NA
670,Word,511173,NA
670,ISI,512193.04,NA
670,Trial,512193.04,NA
670,Fixation,512709.74,NA
670,Prime,512909.74,NA
670,Blank,512997.02,NA
670,Word,513557,NA
670,ISI,514583.3,NA
670,Trial,514583.3,NA
670,Fixation,515083.32,NA
670,Prime,515299.44,NA
670,Blank,515399.46,NA
670,Word,515919,NA
670,ISI,516949.96,NA
670,Trial,516949.96,NA
670,Fixation,517449.42,NA
670,Prime,517649.96,NA
670,Blank,517765.56,NA
670,Word,518434,NA
670,ISI,519473.94,NA
670,Trial,519473.94,NA
670,Fixation,519989.7,NA
670,Prime,520190.42,NA
